use_case,window,data_size,algorithm,max_date,min_date,x_train_size,y_train_size,x_test_size,y_test_size,time_train,time_test,Mean absolute error,R2 
W180P100.0,180,100.0,Decision Tree Regressor,2015/07/31,2015/02/02,160560,160560,40140,40140,5.9433637000620365,0.03019909979775548,737.0313126575261,0.9111758878399305
W180P100.0,180,100.0,Lasso,2015/07/31,2015/02/02,160560,160560,40140,40140,1.0029103998094797,0.03008890012279153,966.1558036844506,0.8629592729330645
W180P100.0,180,100.0,Random Forest Regressor,2015/07/31,2015/02/02,160560,160560,40140,40140,43.27834499999881,0.165559200104326,556.7421984720146,0.9489774499754615
W180P100.0,180,100.0,Stacking Regressor,2015/07/31,2015/02/02,160560,160560,40140,40140,27.027362799737602,0.10991320013999939,386.1883372368164,0.9749727781327497
W180P90.0,180,90.0,Linear Regression,2015/07/31,2015/02/02,144504,144504,36126,36126,0.8640461997129023,0.022892000153660774,964.9171846291365,0.8613544014906664
W180P90.0,180,90.0,Decision Tree Regressor,2015/07/31,2015/02/02,144504,144504,36126,36126,4.79084529960528,0.02438850002363324,736.3842326235932,0.9122776931135882
W180P90.0,180,90.0,Lasso,2015/07/31,2015/02/02,144504,144504,36126,36126,0.7416102001443505,0.019539199769496918,965.1645595314803,0.8613667673921834
W180P90.0,180,90.0,Random Forest Regressor,2015/07/31,2015/02/02,144504,144504,36126,36126,38.766285200137645,0.15598319983109832,553.9949983391463,0.9494692462198074
W180P90.0,180,90.0,Stacking Regressor,2015/07/31,2015/02/02,144504,144504,36126,36126,23.8237971002236,0.09160500019788742,395.6711126941611,0.9733661575871999
W180P75.0,180,75.0,Linear Regression,2015/07/31,2015/02/02,120420,120420,30105,30105,0.7481293003074825,0.019338599871844053,968.6817481586372,0.8588236449091068
W180P75.0,180,75.0,Decision Tree Regressor,2015/07/31,2015/02/02,120420,120420,30105,30105,4.315130800008774,0.024833400268107653,756.2598306608002,0.9054270135088437
W180P75.0,180,75.0,Lasso,2015/07/31,2015/02/02,120420,120420,30105,30105,0.8924984997138381,0.030450399965047836,968.9311627212971,0.8588307675671843
W180P75.0,180,75.0,Random Forest Regressor,2015/07/31,2015/02/02,120420,120420,30105,30105,31.93871199991554,0.12648630002513528,573.3165553894703,0.946681048958698
W180P75.0,180,75.0,Stacking Regressor,2015/07/31,2015/02/02,120420,120420,30105,30105,21.155096200294793,0.06811860017478466,410.2737644766565,0.9713465798695146
W180P50.0,180,50.0,Linear Regression,2015/07/31,2015/02/02,80280,80280,20070,20070,0.4381817998364568,0.013703600037842989,961.755933146408,0.8682694763300408
W180P50.0,180,50.0,Decision Tree Regressor,2015/07/31,2015/02/02,80280,80280,20070,20070,2.734044599812478,0.017600699793547392,798.8722658658585,0.8991065865824991
W180P50.0,180,50.0,Lasso,2015/07/31,2015/02/02,80280,80280,20070,20070,0.5941702001728117,0.018221199978142977,962.0906219956338,0.8682510926962725
W180P50.0,180,50.0,Random Forest Regressor,2015/07/31,2015/02/02,80280,80280,20070,20070,20.62535020010546,0.07076190039515495,637.8606377678127,0.9365251720428763
W180P50.0,180,50.0,Stacking Regressor,2015/07/31,2015/02/02,80280,80280,20070,20070,13.366536399815232,0.042456400115042925,447.04662377305334,0.9676624239952571
W180P25.0,180,25.0,Linear Regression,2015/07/31,2015/02/02,40140,40140,10035,10035,0.2047913996502757,0.010898400098085403,966.5313207701724,0.8653482551810637
W180P25.0,180,25.0,Decision Tree Regressor,2015/07/31,2015/02/02,40140,40140,10035,10035,1.084730299655348,0.008031600154936314,855.3787669448983,0.8834964371912903
W180P25.0,180,25.0,Lasso,2015/07/31,2015/02/02,40140,40140,10035,10035,0.1723741996102035,0.009392800275236368,966.7946093618309,0.8653708854213759
W180P25.0,180,25.0,Random Forest Regressor,2015/07/31,2015/02/02,40140,40140,10035,10035,8.640816699713469,0.02947629988193512,676.9207174887893,0.9298720752063889
W180P25.0,180,25.0,Stacking Regressor,2015/07/31,2015/02/02,40140,40140,10035,10035,7.111639299895614,0.026849599555134773,518.2723812908889,0.9595269477397742
W180P10.0,180,10.0,Linear Regression,2015/07/31,2015/02/02,16056,16056,4014,4014,0.09706110041588545,0.008129800204187632,929.2388874414747,0.8811303569932228
W180P10.0,180,10.0,Decision Tree Regressor,2015/07/31,2015/02/02,16056,16056,4014,4014,0.4239886999130249,0.003959000110626221,960.2393069032024,0.857270867880586
W180P10.0,180,10.0,Lasso,2015/07/31,2015/02/02,16056,16056,4014,4014,0.07315950002521276,0.0031785001046955585,929.635439952022,0.8811079508938475
W180P10.0,180,10.0,Random Forest Regressor,2015/07/31,2015/02/02,16056,16056,4014,4014,2.695744799915701,0.01306769996881485,751.9277528649726,0.913328858747379
W180P10.0,180,10.0,Stacking Regressor,2015/07/31,2015/02/02,16056,16056,4014,4014,2.717288500163704,0.01750680012628436,597.1297697239576,0.9465552998116252
